,id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,image_url,state,lat,long,posting_date
419409,7309312148,la crosse,12595,2005.0,gmc,sierra c 3500 cube,good,8 cylinders,gas,89276.0,clean,automatic,rwd,full-size,truck,white,https://images.craigslist.org/00D0D_aiPzsq8eka3z_0qY0ke_600x450.jpg,wi,44.0455,-91.668119,2021-04-19T11:46:44-0500
319565,7313534420,medford-ashland,15573,2016.0,ford,transit connect titanium,good,4 cylinders,gas,104340.0,clean,automatic,fwd,mid-size,van,silver,https://images.craigslist.org/00F0F_a6WhvBsFUfkz_0CI0t2_600x450.jpg,or,42.217204,-122.734623,2021-04-27T13:52:53-0700
398851,7304709122,roanoke,10495,2008.0,acura,tl,excellent,6 cylinders,gas,90000.0,clean,automatic,fwd,mid-size,sedan,white,https://images.craigslist.org/00808_cOjvA5LVgw8z_0pO0jm_600x450.jpg,va,37.2757,-79.8775,2021-04-10T12:08:48-0400
243824,7306321180,wilmington,0,2011.0,ford,transit connect,good,4 cylinders,gas,0.0,clean,automatic,fwd,mid-size,van,white,https://images.craigslist.org/00K0K_l5USJucnfz_0cU09G_600x450.jpg,nc,33.711509,-78.909582,2021-04-13T15:31:13-0400
66601,7316914606,ventura county,3000,1966.0,pontiac,bonneville,good,8 cylinders,gas,70000.0,clean,automatic,fwd,full-size,sedan,green,https://images.craigslist.org/00w0w_7s0ngz4SJpKz_0CI0t2_600x450.jpg,ca,34.3992,-118.9182,2021-05-04T13:12:47-0700
327807,7307292860,salem,13999,2005.0,nissan,titan se,excellent,8 cylinders,gas,226000.0,clean,automatic,4wd,full-size,truck,black,https://images.craigslist.org/01313_874YuFVqivsz_0CI0lM_600x450.jpg,or,45.04571,-122.956391,2021-04-15T10:51:46-0700
321264,7309900410,oregon coast,9990,2001.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,115098.0,clean,automatic,rwd,full-size,truck,white,https://images.craigslist.org/00T0T_98stkLlmpofz_0CI0t2_600x450.jpg,or,44.045127,-123.043674,2021-04-20T10:25:51-0700
388040,7309781795,vermont,28795,2020.0,toyota,rav4,excellent,4 cylinders,gas,29164.0,clean,automatic,4wd,mid-size,SUV,grey,https://images.craigslist.org/00h0h_83RjhbVRdJsz_0CI0t2_600x450.jpg,vt,44.1945,-72.4936,2021-04-20T10:29:10-0400
334171,7311489083,philadelphia,7999,2012.0,honda,accord,good,4 cylinders,gas,129329.0,clean,automatic,fwd,mid-size,coupe,red,https://images.craigslist.org/00o0o_ryKM0KgEJuz_0kE0fu_600x450.jpg,pa,40.090868,-75.137709,2021-04-23T14:42:34-0400
214593,7316409165,minneapolis / st paul,6499,2011.0,honda,accord se w/htd leather,good,4 cylinders,gas,178544.0,clean,automatic,fwd,mid-size,sedan,silver,https://images.craigslist.org/00w0w_jBYgAd8O9Rwz_0CI0t2_600x450.jpg,mn,44.7793,-93.5197,2021-05-03T15:28:46-0500
329224,7314984017,harrisburg,9995,2009.0,subaru,forester 2.5i premium,excellent,4 cylinders,gas,87405.0,clean,automatic,4wd,mid-size,SUV,blue,https://images.craigslist.org/01111_aM8fhAvyEDCz_0CI0t2_600x450.jpg,pa,40.198793,-77.151498,2021-04-30T15:54:49-0400
393863,7312009582,norfolk / hampton roads,3700,2009.0,chevrolet,impala lt,good,6 cylinders,gas,197.0,clean,automatic,fwd,full-size,sedan,brown,https://images.craigslist.org/00L0L_9XFi0kEyGT4z_0CI0mE_600x450.jpg,va,36.8469,-76.0089,2021-04-24T15:08:00-0400
56130,7315402136,san diego,14500,1999.0,bmw,z3 m roadster,good,6 cylinders,gas,96.0,clean,manual,rwd,mid-size,sedan,black,https://images.craigslist.org/00E0E_lLbHdLm2TGyz_0CI0t2_600x450.jpg,ca,33.0895,-117.1128,2021-05-01T10:59:11-0700
163826,7311580069,waterloo / cedar falls,7450,2011.0,chevrolet,traverse lt,good,6 cylinders,gas,148150.0,clean,automatic,fwd,mid-size,SUV,silver,https://images.craigslist.org/00202_dNGOvViqE3zz_0CI0t2_600x450.jpg,ia,42.492521,-92.321064,2021-04-23T16:16:40-0500
40145,7311500069,monterey bay,5995,2013.0,dodge,dart,good,4 cylinders,gas,139032.0,clean,automatic,fwd,compact,sedan,blue,https://images.craigslist.org/00q0q_av0FiFGdIAhz_09G07g_600x450.jpg,ca,36.678966,-121.647459,2021-04-23T12:00:29-0700
76943,7316133265,denver,6995,2010.0,mazda,cx-9,good,6 cylinders,gas,180554.0,clean,automatic,4wd,mid-size,SUV,silver,https://images.craigslist.org/00B0B_64CR0xpLqvjz_0CI0t2_600x450.jpg,co,39.532379,-104.768994,2021-05-03T06:48:29-0600
209727,7306679459,southwest michigan,11990,2008.0,chevrolet,silverado 1500,good,8 cylinders,gas,146515.0,clean,automatic,4wd,full-size,truck,white,https://images.craigslist.org/00Q0Q_j52HJHPSS3Oz_0kE0fu_600x450.jpg,mi,42.40274,-86.25973,2021-04-14T11:26:24-0400
384620,7310075561,waco,0,2013.0,honda,pilot touring,excellent,6 cylinders,gas,132000.0,clean,automatic,fwd,full-size,SUV,black,https://images.craigslist.org/01414_ctOXeKn1rfKz_0t20CI_600x450.jpg,tx,31.6725,-97.1138,2021-04-20T17:25:55-0500
313605,7307638457,bend,3950,1999.0,subaru,forester,good,4 cylinders,gas,242400.0,clean,automatic,4wd,mid-size,wagon,blue,https://images.craigslist.org/00E0E_4ETGZnc5BBPz_0CI0t2_600x450.jpg,or,44.0928,-121.2936,2021-04-16T05:59:08-0700
306268,7310815940,oklahoma city,0,2018.0,ford,f-250sd,excellent,8 cylinders,diesel,125936.0,clean,automatic,4wd,full-size,truck,silver,https://images.craigslist.org/00L0L_iPCHTAC2D4iz_0ak07K_600x450.jpg,ok,34.19709,-97.16056,2021-04-22T09:25:19-0500
251385,7309515020,central NJ,5500,2010.0,toyota,prius hybrid,excellent,4 cylinders,hybrid,150000.0,clean,automatic,rwd,mid-size,hatchback,silver,https://images.craigslist.org/00o0o_63ZuCFyqdh8z_0CI0t2_600x450.jpg,nj,40.4107,-74.255,2021-04-19T17:52:18-0400
16291,7311708121,tucson,11999,2014.0,kia,sorento,good,6 cylinders,gas,95356.0,clean,automatic,fwd,full-size,SUV,custom,https://images.craigslist.org/00202_8nXtU7AjgxSz_0kE0fu_600x450.jpg,az,32.20706,-110.8372,2021-04-23T19:34:48-0700
